p_value: 0.8698818986914056, z_value: -1.0969655114602888
p_value: 0.8413576052238025, z_value: -0.989743318610787
p_value: 0.9260801323290812, z_value: -1.4415730739189034
p_value: 0.8816770893424584, z_value: -1.1797483932931052
p_value: 0.9704121463578311, z_value: -1.884261333082506

p_value: 0.039126114263118524, z_value: 1.7897858344878397
p_value: 0.0010258727196168949, z_value: 3.0929478706587097
p_value: 0.0015565128540447881, z_value: 2.961982175317747
p_value: 0.00035070325522495175, z_value: 3.3926925844391786
p_value: 0.0007020747793484611, z_value: 3.196421035786201

p_value: 0.37541594204455847, z_value: 0.3464101615137754
p_value: 0.26470745932887463, z_value: 0.6392092266028
p_value: 0.3999789777934685, z_value: 0.25903266171980294
p_value: 0.17508159668800577, z_value: 0.9379366108168787
p_value: 0.46758025437732825, z_value: 0.08397822097303648

p_value: 0.07860637667000193, z_value: 1.4433756729740643
p_value: 0.028239719816916486, z_value: 1.9176276798084
p_value: 0.030384585721644236, z_value: 1.8808023698785692
p_value: 0.006697800468592648, z_value: 2.4767388629383205
p_value: 0.007172820501105522, z_value: 2.4511143246505025

p_value: 0.09696542614120535, z_value: 1.3279056191361391
p_value: 0.23208499717989745, z_value: 0.7423074889580903
p_value: 0.2734098695836117, z_value: 0.6081636405595374
p_value: 0.3973814183244456, z_value: 0.26379467179224714
p_value: 0.6265733439187597, z_value: -0.3201669674597016

p_value: 0.11829204666093807, z_value: 1.212435565298214
p_value: 0.037244347789869424, z_value: 1.7939097649820515
p_value: 0.07391986767091888, z_value: 1.4528353635588949
p_value: 0.029589265317854746, z_value: 1.8905284811777712
p_value: 0.18124285105646798, z_value: 0.9132631530817718

p_value: 0.07047760957218573, z_value: 1.5011106998930268
p_value: 0.009114088929465625, z_value: 2.3712600341716774
p_value: 0.0031561155915773085, z_value: 2.7367363825179183
p_value: 0.0004942674858640082, z_value: 3.2974333974030894
p_value: 0.0006408637560692612, z_value: 3.222664229840275

p_value: 0.21786533001586827, z_value: 0.808290376865476
p_value: 0.553309680928982, z_value: -0.12371791482634838
p_value: 0.40433614173022375, z_value: 0.2477703720798115
p_value: 0.2776374972630553, z_value: 0.593538011532556
p_value: 0.5780173479552697, z_value: -0.19419963600014686

p_value: 0.10724690389175873, z_value: 1.2701705922171767
p_value: 0.07890931146649072, z_value: 1.4227560205030063
p_value: 0.10874671431089228, z_value: 1.2388518603990577
p_value: 0.06605567723754348, z_value: 1.5094917330334143
p_value: 0.16774234293874923, z_value: 0.9657495411899195

p_value: 0.1854221666521106, z_value: 0.9237604307034011
p_value: 0.10237958057268298, z_value: 1.2784184532056
p_value: 0.20710253844806553, z_value: 0.8221471437193746
p_value: 0.33943299540119276, z_value: 0.4176748970043913
p_value: 0.4343412882928769, z_value: 0.16795644194607295

p_value: 0.00015402235281387344, z_value: 3.637306695894642
p_value: 5.397926564660738e-07, z_value: 4.886857635640761
p_value: 2.4466672379240934e-09, z_value: 5.856390612795545
p_value: 2.407482583863506e-11, z_value: 6.580211535262165
p_value: 1.068010601709925e-12, z_value: 7.027927367680991

p_value: 0.23524321102939483, z_value: 0.7505553499465134
p_value: 0.10993585531435157, z_value: 1.2371791482634837
p_value: 0.1435994950832044, z_value: 1.069917515799186
p_value: 0.16038084745933168, z_value: 0.9965576489929336
p_value: 0.3007517720035444, z_value: 0.524863881081478

p_value: 0.1703893067814773, z_value: 0.9814954576223637
p_value: 0.06481729043950644, z_value: 1.5258542828582966
p_value: 0.09100670720906912, z_value: 1.3402124671589806
p_value: 0.10311211775025936, z_value: 1.2676799505571876
p_value: 0.4302139857330375, z_value: 0.17845371956770253

p_value: 0.1301181013085944, z_value: 1.1547005383792515
p_value: 0.14413779521235104, z_value: 1.0722219284950194
p_value: 0.19757836128395595, z_value: 0.8559340126393489
p_value: 0.17697750251442773, z_value: 0.9306089810448719
p_value: 0.27743717099122656, z_value: 0.5930961856220701

p_value: 0.0036299774940952876, z_value: 2.713546265191241
p_value: 0.0002193388208558194, z_value: 3.525960572550929
p_value: 0.000677376687933362, z_value: 3.2097525473975583
p_value: 5.068113773916444e-05, z_value: 3.8909714089356453
p_value: 0.00012565288058646545, z_value: 3.6635498899487167

p_value: 0.2533602574389292, z_value: 0.6928203230275508
p_value: 0.2923883610418598, z_value: 0.5567306167185677
p_value: 0.19757836128395595, z_value: 0.8559340126393489
p_value: 0.3421202478311214, z_value: 0.41034726723238446
p_value: 0.7119123265182411, z_value: -0.5563557139463667

p_value: 0.6245840579554416, z_value: -0.28867513459481287
p_value: 0.2258399547779812, z_value: 0.7629271414291483
p_value: 0.23725651471517079, z_value: 0.7207865369594517
p_value: 0.4287619870972942, z_value: 0.18319074430017163
p_value: 0.6731971032331115, z_value: -0.4461342989192563

p_value: 0.46549372327978356, z_value: 0.11547005383792514
p_value: 0.3668438227865982, z_value: 0.3505340920079871
p_value: 0.29245699994323804, z_value: 0.5518521923595802
p_value: 0.21329283995601267, z_value: 0.7987116451487483
p_value: 0.4947653903725833, z_value: 0.01574591643244434

p_value: 0.33250277105101456, z_value: 0.46188021535170054
p_value: 0.17942082738016757, z_value: 0.9278843611976129
p_value: 0.3120989349977046, z_value: 0.495540744159623
p_value: 0.3889281465988047, z_value: 0.28577756110826774
